Altair	견우성	牽牛星
Amphibia	양서류	兩棲類
Arctic Ocean	북빙양	北氷洋
Australia	호주	濠洲
Bible	성서	聖書
Caucasian	백인	白人
Celsius	섭씨	攝氏
Central America	중미	中米
China	중국	中國
Chinese character	한자	漢字
Communist China	중공	中共
Dead Sea	사해	死海
East Indies	동인도	東印度
Fallopian tube	수란관	輸卵管
Far East	극동	極東
Friday	금요일	金曜日
German measles	풍진	風疹
Germany	독일	獨逸
Great Bear	북두칠성	北斗七星
Holy Land	성지	聖地
Japan	일본	日本
Korea	한국	韓國
Lower House	하원	下院
Manchuria	만주	滿洲
Mediterranean Sea	지중해	地中海
Mesozoic era	중생대	中生代
Occident	서반구	西半球
Oriental	동양풍	東洋風
Red Sea	홍해	紅海
Saturday	토요일	土曜日
Sirius	천랑성	天狼星
South China Sea	남지나해	南支那海
Sunday	일요일	日曜日
Thursday	목요일	木曜日
Tuesday	화요일	火曜日
Wednesday	수요일	水曜日
abbe	신부	神父
abbreviation	생략	省略
abbreviation	약어	略語
abbreviation	약자	略字
abdication	퇴위	退位
abdomen	복부	腹部
abeyance	중절	中絶
abeyance	정지	停止
ability	능력	能力
ability	재능	才能
abnormality	이상	異常
abolition	폐지	廢止
aboriginal	원주민	原住民
abortion	유산	流産流産
abrasion	찰과상	擦過傷
abscess	농양	膿瘍
abscondence	실종	失踪
absence	부재	不在
absence	결석	缺席
absorption	흡수	吸收
abstinence	금욕	禁慾
abstinence	금주	禁酒
abstract	추상적인	抽象
abundance	풍부	豊富
abundance	윤택	潤澤
abuse	남용하다	濫用
abuse	악용하다	惡用
abuse	학대하다	虐待
abuse	악용	惡用
abuse	남용	濫用
academic	학구적인	學究的
academy	학원	學園
acceleration	가속	加速
acceleration	촉진	促進
acceleration	가속도	加速度
accent	어조	語調
accession	계승	繼承
accident	사고	事故
acclamation	환호	歡呼
acclamation	갈채	喝采
accommodation	적응	適應
accommodation	화해	和解
accommodation	융통	融通
accommodation	편의	便宜
accompaniment	반주	伴奏
accomplice	공범자	共犯者
accomplice	동류	同類
accomplishment	수행	遂行
account	기사	記事
account	기사	記事
accumulation	집적	集積
accumulation	축적	蓄積
accusation	고소	告訴
acetic acid	초산	醋酸
acidification	산패	酸敗
acidity	산성	酸性
acknowledgement	승인	承認
acquaintance	면식	面識
acquisition	취득	取得
acquisition	획득	獲得
acquit	면제하다	免除
acquittal	석방	釋放
acrobatic	곡예	曲藝
acrobatics	곡예	曲藝
act	행위	行爲
act	작용하다	作用
action	활동	活動
action	작용	作用
action	행동	行動
action	동작	動作
action	작용	作用
active	적극적인	積極的
activity	활동	活動
activity	활약	活躍
activity	활황	活況
acupuncture	침술	鍼術
adaptation	적응	適應
add	가산하다	加算
addend	가수	加數
addition	가산	加算
adhesion	집착	執着
adhesion	점착	粘着
adjacent	인접하는	隣接
adjoin	인접하다	隣接
adjourn	휴회하다	休會
adjustment	조정	調整
adjustment	조절	調節
adjustment	수정	修整
adjustment	조정	調整
administration	경영	經營
administration	행정	行政
admiral	제독	提督
admiration	감탄	感嘆
admission	입장	入場
admission	자인	自認
admonition	훈계	訓戒
adopt	채용하다	採用
adoption	채택	採擇
adoration	숭배	崇拜
adoration	애모	愛慕
adorer	숭배자	崇拜者
adult	성인	成人
adulterer	간부	姦夫
adultery	간통	姦通
advantage	편의	便宜
advantage	이점	利点利點
adventure	모험	冒險
adverb	부사	副詞
adversity	역경	逆境
advertisement	광고	廣告
advice	충고	忠告
advice	조언	助言
adviser	조언자	助言者
adviser	고문	顧問
advocacy	변호	辨護辯護
advocacy	주장	主張
aeroplane	비행기	飛行機
aesthetic	심미적인	審美的
affair	사건	事件
affection	애정	愛情
affiliation	가입	加入
affirmation	단언	斷言
afflux	유입	流入流入
afford	산출하다	産出
affront	모욕하다	侮辱
afterbirth	후산	後産
afterbrain	후뇌	後腦
afterdeck	후갑판	後甲板
afterimage	잔상	殘像
afternoon	오후	午後
afterpiece	익살맞은 촌극	寸劇
aftershock	여진	餘震
agate	마노	瑪瑙
age	연령	年齡
age	세대	世代
agency	대리점	代理店
agenda	의제	議題
agent	대리인	代理人
aggravation	악화	惡化
aggregation	집성	集成
aggression	침략	侵掠
aggressive	침략적인	侵略的
aggressor	침략자	侵略者
agitation	동요	動搖
agitation	흥분	興奮
agitation	동란	動亂
agony	고통	苦痛
agony	고뇌	苦惱
agree	일치하다	一致
agreement	동의	同意
agreement	계약	契約
agreement	일치	一致
agriculture	농업	農業
agriculture	농학	農學
agrostology	화본학	禾本學
ague	오한	惡寒
ahimsa	불살생	不殺生
aide	부관	副官
air	공기	空氣
air	공중	空中
air defense	방공	防空
air raid	공습	空襲
air transport	공수	空輸
airport	공항	空港
airship	비행선	飛行船
alacrity	민활	敏活
alarm bell	경종	警鐘
albatross	신천옹	信天翁
algebra	대수	代數
algicide	살조제	殺藻劑
allegory	우화	寓話
alliance	동맹	同盟
alliteration	두운	頭韻
allotment	할당	割當
alloy	합금	合金
alloy	합금하다	合金
allurement	유혹	誘惑
almond	편도	扁桃
alms	보시	布施
aloe	침향	沈香
alternating current	교류	交流
altitude	고도	高度
ambassador	대사	大使
amber	호박	琥珀
ambition	야심	野心
ambition	대망	大望
ambition	패기	覇氣
ambulance	구급차	救急車
ambush	잠복	潛伏
ambush	복병	伏兵
amendment	개정	改正
amethyst	자수정	紫水晶
amicable	우호적인	友好的
ammunition	탄약	彈藥
amnesty	은사	恩赦
amnesty	대사	大赦
amnesty	특사	特赦
amplification	부연	敷衍
anabolism	동화작용	同化作用
analogy	유추	類推
analysis	분석	分析
analysis	해석	解析
analysis	분해	分解
anarchy	무정부	無政府
anathema	파문	破門
anathema	파문	破門
ancestry	계통	系統
anecdote	일화	逸話
angina pectoris	협심증	狹心症
angiosperm	피자식물	被子植物
angle	각도	角度
anguish	고뇌	苦惱
angular velocity	각속도	角速度
animal	동물	動物
animal husbandry	축산	畜産
annihilation	전멸	全滅
anniversary	기념일	記念日
annotation	주석	註釋
annotation	주해	註解
announcement	발표	發表
annuity	연금	年金
anode	양극	陽極
anonym	익명자	匿名
anonymity	익명	匿名
anonymity	무명	無名
antagonism	적대	敵對
antenna	촉각	觸角
anthropoid	유인원	類人猿
anticipation	예상	豫想
antipathy	반감	反感
antipodal	대척적인	對蹠的
antique	고물	古物
antithesis	대조	對照
antonym	반의어	反意語
anus	항문	肛門
anxiety	불안	不安
aorta	대동맥	大動脈
aphorism	격언	格言
aphrodisiac	최음제	催淫劑
aphrodisiac	미약	媚藥
apiculture	양봉	養蜂
apocalypse	묵시	默示
apologize	변명하다	辨明
apology	사죄	謝罪
apostasy	변절	變節
apparatus	장치	裝置
apparition	유령	幽靈
apparition	요괴	妖怪
appeal	애원하다	哀願
appearance	출현	出現
appearance	출두	出頭
appearance	외관	外觀
appeasement	진정	鎭靜
appetite	식욕	食慾食欲
appetite	욕망	慾望欲望
applicant	응모자	應募者
application	신청	申請
application	응용	應用
appoint	지명하다	指名
appointment	임명	任命
appreciation	감상	鑑賞
apprehend	체포하다	逮捕
apprehension	체포	逮捕
apprentice	도제	徒弟
apprentice	견습	見習
approach	접근하다	接近
appropriation	충당	充當
approval	시인	是認
approval	찬성	贊成
approving	시인하는	是認
approximately	대략	大略
approximation	근사치	近似値
appurtenance	종물	從物
aptitude	적성	適性
aquarium	수족관	水族館
arbitration	중재	仲裁
archer	사수	射手
archery	궁술	弓術
archetypal	전형적인	典型
archipelago	군도	群島
archipelago	다도해	多島海
archives	공문서	公文書
area	면적	面積
area	지역	地域
area	지방	地方
area	영역	領域
aristocrat	귀족	貴族
arithmetic	산수	算數
arithmetic progression	등차수열	等差數列
ark	방주	方舟
arm	무기	武器
arm	병기	兵器
armada	함대	艦隊
armament	군비	軍備
armistice	휴전	休戰
army	육군	陸軍
army	군대	軍隊
aroma	방향	芳香
aroma	기품	氣品
arrangement	정리	整理
arrangement	배열	配列
arrangement	편곡	編曲
arrest	체포하다	逮捕
arrest	저지하다	沮止
arrest	체포	逮捕
arrival	도착	到着
arrival	출현	出現
arson	방화	放火
art	예술	藝術
art gallery	미술관	美術館
artery	동맥	動脈
article	기사	記事
article	물품	物品
article	조목	條目
article	조항	條項
artificial flowers	조화	造花
artillery	대포	大砲
artillery	포병	砲兵
artillery	포술	砲術
artistic	예술적인	藝術的
artistic	미술적인	美術的
asbestos	석면	石綿
ascending	상승적인	上昇
ask	청구하다	請求
aspect	국면	局面
aspect	양상	樣相
asperse	중상하다	中傷
aspiration	대망	大望
aspiration	포부	抱負
assassin	암살자	暗殺者
assassin	자객	刺客
assassination	암살	暗殺
assassinator	암살자	暗殺者
assault	폭행	暴行
assembly	집합	集合
assembly	집회	集會
assembly	회의	會議
assembly	조립	組立
assembly	집회	集會
assembly	회의	會議
assembly	집합	集合
assembly	조립	組立
assertion	주장	主張
asset	자산	資産
asset	재산	財産
assignment	할당	割當
assimilation	동화	同化
assistance	조력	助力
assistant	조수	助手
associate	동료	同僚
association	조합	組合
association	교제	交際
assortment	종별	種別
assumption	가정	假定
assurance	보증	保證
assure	보증하다	保證
asthma	천식	喘息
astigmatism	난시	亂視
astrology	점성술	占星術
asymmetry	비대칭	非對稱
atheism	무신론	無神論
atmosphere	대기	大氣
atmosphere	공기	空氣
atoll	환초	環礁
atom	원자	原子
atom	미진	微塵
atomizer	분무기	噴霧器
atrium	심방	心房
atrophy	위축하다	萎縮
attachment	애착	愛着
attendance	출석	出席
attest	증언하다	證言
attitude	자세	姿勢
attitude	태도	態度
attorney	대리인	代理人
attribute	속성	屬性
audience	청중	聽衆
audit	감사	監査
auditorium	강당	講堂
aunt	백모	伯母
auscultation	청진	聽診
austerity	엄격	嚴格
austerity	엄숙	嚴肅
authenticity	진실성	眞實性
author	저자	著者
authority	권위	權威
authority	권력	權力
authority	권능	權能
authority	권한	權限
autism	자폐증	自閉症
autobiography	자서전	自敍傳
autocrat	독재자	獨裁者
autograph	자서하다	自署
automobile	자동차	自動車
autonomy	자치	自治
autopsy	검시	檢屍
auxiliary verb	조동사	助動詞
availability	유효	有效
avarice	탐욕	貪慾
