다북쑥속의 식물	オウシュウヨモギ
습지대	しょうち
마니푸르	マニプル,マニプル州
보크사이트	鉄礬土,ボーキサイト
곡마장	競馬場
값을구함	品定め
헬리오트로프	ニオイムラサキ,ヘリオトロープ,薄紫,キダチルリソウ
종류별 분류	トリアージ
대한민국	韓國,韓国,大韓民国
검안사	眼科医
노동자	kōjin,kōfu,工人,こうふ,こうじん
바로 그렇다	きっかり
고리의	とんでもない
겁없는	大胆な
어둠침침한	暗い
겁없음	大膽,大胆
유칼리나무	1. ユーカリ 2. ユーカリ
심한 불만	混乱
필승 경기	決定戦
이온교환	イオン交換
교과서	教科書
명칭이 오용	誤称,rangnefni
검열자	レフリー
노동력	人力,じんざい,人々,人材
지나친 감상	スライム,ぬめり
나치즘	ファシズム,ナチ主義,国家社会主義,ナチズム
날씬하고 우아한	軽い
빈트후크	ウィントフック
히스티딘	ヒスチジン
검은금	石炭,黒炭
크로아티아	クロアチア
가스체의 희원소	キセノン
시계수리인	oro-rojisu-tu,時計屋
통기 통풍	曝気,給気
은자메나	ンジャメナ,エンジャメナ
보크사이드	鉄礬土,ボーキサイト
장기간에 걸친	慢性的な
아메리카 대륙	%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%B7%9E,アメリカ州
공로장	メダル,勲章,賞牌
원생 생물	原生生物
삭제하다	消す
높이사다	過大評価する
보기싫은놈	狒々
아버지 날	父の日
표백하는 사람	漂白剤
고문단	秘密結社
골리앗	ゴリアテ
사나운 전사	バーサーカー,ベルセルク
찻주전자	ティーポット
소비자 물가지수	消費者物価指数
의지에 의한	意識的な
간헐천	間欠泉
바퀴벌레	1. ゴキブリ,甲虫類 2. ゴキブリ,油虫
노던 준주	ノーザンテリトリー
거주자	隣人,お隣
동력 삽	掘削機,ショベル
사이가 좋아지다	親友,友,shin'yū,しんゆう
건장한	賑やかな
연결하는 것	端子
상호 대명사	相互代名詞
사람의 얼굴	走行距離計,クロック,とけい,tokei,時計,置き時計
낮추다	屈辱を与える,貶める,辱める,凹ます
관람석	パビリオン
건조실	温室
연쇄상 구균	レンサ球菌
경험상의	実証的
소금절이 양배추	ザワークラウト
마데이라 흰포도주	マデイラ諸島
모터 바이크	単車,オートバイ
나체화	裸体像
겨드랑이	腋窩,脇の下,わきの下,腋下
회랑지대	回廊,回廊地帯,空中回廊,廊下
잉어과의담수어	ヨーロッパヘダイ,鯛
하품하다	1. 欠伸する 2. 欠伸する
과두정	寡頭制
사탕수수	サトウキビ
아편중독	アヘン,阿片
베들레헴	ベツレヘム
논리학자	論理学者
정상 체위	正常位
광기가 있는	すっとこどっこい (suttokodokkoi)
실업률	失業
화재 보험 회사	消防隊
정신 돌리는 약병	ヴィネグリットソース
생물과학	生命科学,ライフサイエンス
여자의 음부	まんこ,おまんこ
이라크어	イラクの
신어의	新語
아세틸렌	asechiren,アセチレン,アルキン
감탄 부호	！,感嘆符
도타운 사랑	suki
경범죄	侵害
오리온 자리	オリオン座
신약성서	新約聖書
냉장기	冷蔵庫
도로 빼내다	開く
냉장고	1. フリーザー 2. 冷蔵庫 3. 冷蔵庫
통계학	統計学,統計
실업가	実業家
요염한 여자	妖婦,妖女,ファム・ファタル
몰리브데넘	モリブデン
기독교계	キリスト教
토끼굴	地下道
기독교국	キリスト教
그림엽서	葉書,hagaki,はがき
의료의 신	アスクレーピオス
끓이는 그릇	ボイラー
은유적인	比喩,比喩的な
음악학교	音楽学部
말채나무	ミズキ,ミズキ属
경보기	警報
네바다	ネバダ
기독교도	1. キリスト教徒,クリスチャン 2. キリスト教徒,クリスチャン 3. キリスト教徒,クリスチャン
물리학자	パスカル
파이살라바드	ファイサラーバード
스위스 북부의 주	チューリッヒ
보낼 곳	目的地
전기 분해	電解,電気分解
과민증의	アレルギー性の
광대뼈	頬骨
생물군계	生物群系
유령 도시	ゴーストタウン
